Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date,Annual_Spend,Signup_Year,Tenure_Group,Spend_Group
C031142,42.0,Male,East,82,Premium,42.58,0,0.0,2020-11-07,510.96,2020,5-10 yr,Q3
C031143,39.0,Female,East,73,Basic,10.68,2,1.0,2023-04-14,128.16,2023,5-10 yr,Q1 low
C031144,42.0,Male,North,110,Standard,25.33,1,0.0,2023-10-30,303.96,2023,5-10 yr,Q2
C031145,46.0,Female,East,58,Basic,8.98,2,0.0,2020-01-15,107.76,2020,2-5 yr,Q1 low
C031146,47.0,Female,North,52,Premium,70.72,3,0.0,2023-11-01,848.64,2023,2-5 yr,Q4 high
C031147,34.0,Female,North,86,Basic,9.08,0,0.0,2023-06-25,108.96000000000001,2023,5-10 yr,Q1 low
C031148,41.0,Male,East,2,Premium,89.82,2,0.0,2023-09-15,1077.84,2023,0-6 mo,Q4 high
C031149,31.0,Female,North,80,Basic,15.65,1,0.0,2022-06-05,187.8,2022,5-10 yr,Q2
C031150,45.0,Female,East,4,Basic,18.37,2,0.0,2023-06-21,220.44,2023,0-6 mo,Q2
C031151,31.0,Female,Central,13,Standard,19.73,0,0.0,2022-12-22,236.76,2022,1-2 yr,Q2
C031152,34.0,Female,West,27,Standard,34.83,0,0.0,2021-11-04,417.96,2021,2-5 yr,Q3
C031153,19.0,Female,South,86,Premium,90.25,2,0.0,2020-10-16,1083.0,2020,5-10 yr,Q4 high
C031154,31.0,Female,South,28,Standard,33.86,2,0.0,2024-03-14,406.32,2024,2-5 yr,Q3
C031155,48.0,Male,West,95,Standard,28.05,0,0.0,2019-05-01,336.6,2019,5-10 yr,Q3
C031156,36.0,Female,Central,104,Basic,13.31,3,0.0,2019-01-16,159.72,2019,5-10 yr,Q1 low
C031157,40.0,Female,South,89,Basic,17.54,1,0.0,2023-03-09,210.48,2023,5-10 yr,Q2
C031158,35.0,Male,East,75,Standard,23.69,0,0.0,2020-11-15,284.28000000000003,2020,5-10 yr,Q2
C031159,39.0,Female,Central,90,Basic,16.46,3,1.0,2021-05-23,197.52,2021,5-10 yr,Q2
C031160,36.0,Male,South,46,Premium,82.76,3,0.0,2023-12-18,993.1200000000001,2023,2-5 yr,Q4 high
C031161,45.0,Male,West,30,Basic,12.08,2,1.0,2025-05-24,144.96,2025,2-5 yr,Q1 low
C031162,35.0,Female,West,106,Basic,6.22,3,0.0,2021-06-16,74.64,2021,5-10 yr,Q1 low
C031163,18.0,Male,North,70,Standard,29.1,1,0.0,2022-06-03,349.20000000000005,2022,5-10 yr,Q3
C031164,54.0,Female,North,62,Basic,12.18,0,1.0,2021-03-14,146.16,2021,5-10 yr,Q1 low
C031165,39.0,Non-binary,East,12,Basic,9.29,0,0.0,2023-09-29,111.47999999999999,2023,6-12 mo,Q1 low
C031166,45.0,Female,North,22,Premium,96.55,1,0.0,2024-02-03,1158.6,2024,1-2 yr,Q4 high
C031167,53.0,Female,Central,61,Basic,11.56,1,0.0,2022-01-03,138.72,2022,5-10 yr,Q1 low
C031168,22.0,Male,North,78,Standard,34.71,0,0.0,2019-12-01,416.52,2019,5-10 yr,Q3
C031169,51.0,Male,North,33,Premium,84.76,1,0.0,2021-01-11,1017.1200000000001,2021,2-5 yr,Q4 high
C031170,25.0,Female,North,100,Premium,85.4,0,0.0,2020-12-19,1024.8000000000002,2020,5-10 yr,Q4 high
C031171,36.0,Female,South,94,Standard,28.33,1,0.0,2021-06-11,339.96,2021,5-10 yr,Q3
C031172,18.0,Male,North,67,Standard,38.52,0,0.0,2024-10-31,462.24,2024,5-10 yr,Q3
C031173,35.0,Male,North,28,Standard,38.59,2,0.0,2023-12-31,463.08000000000004,2023,2-5 yr,Q3
C031174,25.0,Male,West,107,Premium,86.03,0,0.0,2020-10-06,1032.3600000000001,2020,5-10 yr,Q4 high
C031175,33.0,Male,Central,101,Premium,58.11,0,0.0,2024-01-04,697.3199999999999,2024,5-10 yr,Q4 high
C031176,41.0,Male,East,23,Basic,18.82,0,0.0,2023-04-26,225.84,2023,1-2 yr,Q2
C031177,30.0,Female,South,97,Standard,15.36,0,0.0,2024-04-21,184.32,2024,5-10 yr,Q1 low
C031178,34.0,Female,South,116,Premium,92.9,2,0.0,2020-04-18,1114.8000000000002,2020,5-10 yr,Q4 high
C031179,18.0,Male,South,40,Standard,29.62,2,0.0,2021-08-03,355.44,2021,2-5 yr,Q3
C031180,43.0,Male,North,10,Standard,36.91,1,0.0,2021-08-04,442.91999999999996,2021,6-12 mo,Q3
C031181,35.0,Female,East,4,Premium,74.58,1,1.0,2019-05-22,894.96,2019,0-6 mo,Q4 high
C031182,66.0,Female,West,21,Basic,8.48,3,1.0,2019-06-16,101.76,2019,1-2 yr,Q1 low
C031183,44.0,Female,North,72,Standard,26.15,0,0.0,2019-08-22,313.79999999999995,2019,5-10 yr,Q3
C031184,51.0,Male,South,36,Premium,71.25,1,0.0,2024-03-20,855.0,2024,2-5 yr,Q4 high
C031185,51.0,Male,South,77,Standard,23.69,2,0.0,2023-06-18,284.28000000000003,2023,5-10 yr,Q2
C031186,23.0,Male,South,26,Standard,37.03,2,0.0,2024-10-09,444.36,2024,2-5 yr,Q3
C031187,43.0,Male,West,79,Basic,9.14,2,1.0,2023-04-11,109.68,2023,5-10 yr,Q1 low
C031188,37.0,Male,East,53,Standard,36.58,0,0.0,2023-03-24,438.96,2023,2-5 yr,Q3
C031189,39.0,Male,South,115,Basic,18.57,1,0.0,2021-06-20,222.84,2021,5-10 yr,Q2
C031190,18.0,Female,West,17,Enterprise,107.84,0,0.0,2023-08-14,1294.08,2023,1-2 yr,Q4 high
C031191,22.0,Male,South,88,Basic,7.1,0,1.0,2024-12-30,85.19999999999999,2024,5-10 yr,Q1 low
C031192,18.0,Male,Central,35,Basic,19.48,1,0.0,2020-02-03,233.76,2020,2-5 yr,Q2
C031193,40.0,Male,South,61,Premium,85.49,0,1.0,2020-05-21,1025.8799999999999,2020,5-10 yr,Q4 high
C031194,41.0,Male,North,32,Premium,76.97,3,0.0,2020-06-25,923.64,2020,2-5 yr,Q4 high
C031195,29.0,Female,North,26,Basic,12.45,1,0.0,2024-03-09,149.39999999999998,2024,2-5 yr,Q1 low
C031196,25.0,Male,Central,6,Basic,9.26,2,0.0,2024-06-14,111.12,2024,0-6 mo,Q1 low
C031197,34.0,Male,South,92,Standard,22.81,0,0.0,2021-04-14,273.71999999999997,2021,5-10 yr,Q2
C031198,26.0,Female,South,116,Basic,14.59,1,0.0,2022-10-20,175.07999999999998,2022,5-10 yr,Q1 low
C031199,39.0,Female,East,16,Premium,87.25,2,0.0,2019-05-27,1047.0,2019,1-2 yr,Q4 high
C031200,24.0,Female,East,55,Standard,27.38,2,1.0,2025-11-03,328.56,2025,2-5 yr,Q3
C031201,21.0,Male,South,39,Standard,16.65,0,0.0,2021-03-06,199.79999999999998,2021,2-5 yr,Q2
C031202,18.0,Female,East,43,Basic,5.66,2,0.0,2021-01-25,67.92,2021,2-5 yr,Q1 low
C031203,37.0,Male,Central,93,Basic,15.45,2,0.0,2023-08-06,185.39999999999998,2023,5-10 yr,Q1 low
C031204,18.0,Male,Central,50,Basic,15.59,0,1.0,2023-07-01,187.07999999999998,2023,2-5 yr,Q2
C031205,21.0,Female,East,70,Standard,20.51,0,0.0,2019-10-11,246.12,2019,5-10 yr,Q2
C031206,34.0,Female,South,118,Basic,5.55,1,1.0,2024-11-05,66.6,2024,5-10 yr,Q1 low
C031207,30.0,Non-binary,East,31,Standard,29.07,2,0.0,2019-01-25,348.84000000000003,2019,2-5 yr,Q3
C031208,30.0,Male,North,80,Standard,24.99,0,0.0,2025-07-28,299.88,2025,5-10 yr,Q2
C031209,18.0,Male,North,111,Basic,11.48,0,0.0,2024-02-19,137.76,2024,5-10 yr,Q1 low
C031210,28.0,Female,East,108,Standard,18.58,1,0.0,2025-06-01,222.95999999999998,2025,5-10 yr,Q2
C031211,32.0,Male,West,96,Basic,13.4,0,1.0,2025-03-22,160.8,2025,5-10 yr,Q1 low
C031212,45.0,Male,West,99,Basic,11.68,0,0.0,2022-08-11,140.16,2022,5-10 yr,Q1 low
C031213,33.0,Female,North,81,Standard,18.34,1,0.0,2019-07-19,220.07999999999998,2019,5-10 yr,Q2
C031214,18.0,Male,East,27,Standard,16.21,3,0.0,2019-07-24,194.52,2019,2-5 yr,Q2
C031215,29.0,Prefer not to say,North,113,Basic,9.02,0,1.0,2023-04-07,108.24,2023,5-10 yr,Q1 low
C031216,40.0,Male,East,54,Premium,64.89,0,0.0,2024-03-19,778.6800000000001,2024,2-5 yr,Q4 high
C031217,34.0,Male,South,39,Basic,18.7,3,0.0,2025-03-08,224.39999999999998,2025,2-5 yr,Q2
C031218,36.0,Male,Central,38,Standard,26.59,1,1.0,2024-06-23,319.08,2024,2-5 yr,Q3
C031219,42.0,Male,West,8,Basic,17.35,0,0.0,2021-05-02,208.20000000000002,2021,6-12 mo,Q2
C031220,53.0,Male,North,15,Standard,19.57,2,0.0,2021-09-22,234.84,2021,1-2 yr,Q2
C031221,48.0,Female,West,19,Standard,17.14,0,0.0,2020-02-05,205.68,2020,1-2 yr,Q2
C031222,54.0,Female,West,35,Basic,12.44,2,1.0,2019-10-13,149.28,2019,2-5 yr,Q1 low
C031223,40.0,Male,West,18,Basic,7.32,0,1.0,2022-09-21,87.84,2022,1-2 yr,Q1 low
C031224,46.0,Female,North,71,Basic,12.38,0,0.0,2021-12-05,148.56,2021,5-10 yr,Q1 low
C031225,30.0,Female,South,19,Standard,18.32,2,1.0,2020-11-26,219.84,2020,1-2 yr,Q2
C031226,30.0,Male,South,64,Basic,10.46,1,1.0,2023-09-13,125.52000000000001,2023,5-10 yr,Q1 low
C031227,35.0,Female,West,29,Enterprise,153.25,3,0.0,2021-10-01,1839.0,2021,2-5 yr,Q4 high
C031228,32.0,Female,East,55,Basic,18.9,0,0.0,2025-07-27,226.79999999999998,2025,2-5 yr,Q2
C031229,38.0,Female,West,108,Premium,81.98,3,0.0,2019-02-01,983.76,2019,5-10 yr,Q4 high
C031230,30.0,Female,Central,84,Standard,37.02,2,0.0,2021-09-24,444.24,2021,5-10 yr,Q3
C031231,41.0,Female,South,37,Standard,31.63,1,1.0,2024-03-23,379.56,2024,2-5 yr,Q3
C031232,33.0,Male,East,56,Premium,78.44,0,0.0,2019-11-12,941.28,2019,2-5 yr,Q4 high
C031233,28.0,Male,East,38,Premium,65.82,2,0.0,2020-04-08,789.8399999999999,2020,2-5 yr,Q4 high
C031234,35.0,Male,West,15,Standard,35.92,0,0.0,2019-06-27,431.04,2019,1-2 yr,Q3
C031235,30.0,Male,West,50,Premium,68.29,2,0.0,2021-03-18,819.48,2021,2-5 yr,Q4 high
C031236,29.0,Male,Central,7,Basic,17.93,0,0.0,2020-05-04,215.16,2020,6-12 mo,Q2
C031237,25.0,Male,West,69,Enterprise,207.8,1,0.0,2023-07-14,2493.6000000000004,2023,5-10 yr,Q4 high
C031238,31.0,Male,West,101,Basic,17.36,2,0.0,2024-06-14,208.32,2024,5-10 yr,Q2
C031239,27.0,Male,South,53,Standard,15.35,1,0.0,2023-11-17,184.2,2023,2-5 yr,Q1 low
C031240,27.0,Male,Central,77,Basic,11.01,1,0.0,2023-01-06,132.12,2023,5-10 yr,Q1 low
C031241,18.0,Male,East,33,Standard,35.41,2,0.0,2019-08-11,424.91999999999996,2019,2-5 yr,Q3
C031242,38.0,Male,East,1,Basic,17.76,0,0.0,2019-01-23,213.12,2019,0-6 mo,Q2
C031243,35.0,Male,East,65,Standard,30.86,0,0.0,2022-12-31,370.32,2022,5-10 yr,Q3
C031244,24.0,Male,South,52,Basic,14.34,1,0.0,2019-08-05,172.07999999999998,2019,2-5 yr,Q1 low
C031245,32.0,Female,East,47,Enterprise,160.08,2,0.0,2020-01-26,1920.96,2020,2-5 yr,Q4 high
C031246,35.0,Male,West,47,Basic,8.36,0,0.0,2022-03-04,100.32,2022,2-5 yr,Q1 low
C031247,41.0,Male,East,56,Standard,22.21,3,0.0,2021-06-24,266.52,2021,2-5 yr,Q2
C031248,30.0,Female,Central,38,Basic,16.46,1,0.0,2023-07-22,197.52,2023,2-5 yr,Q2
C031249,39.0,Male,West,49,Basic,19.29,0,0.0,2022-10-28,231.48,2022,2-5 yr,Q2
C031250,38.0,Female,West,36,Basic,6.89,1,0.0,2020-04-09,82.67999999999999,2020,2-5 yr,Q1 low
C031251,44.0,Female,South,36,Standard,26.2,3,0.0,2019-04-02,314.4,2019,2-5 yr,Q3
C031252,19.0,Male,South,22,Standard,22.47,2,0.0,2023-09-20,269.64,2023,1-2 yr,Q2
C031253,38.0,Male,South,73,Standard,28.8,1,0.0,2023-06-24,345.6,2023,5-10 yr,Q3
C031254,31.0,Male,West,113,Standard,26.78,2,0.0,2023-10-01,321.36,2023,5-10 yr,Q3
C031255,44.0,Male,Central,78,Basic,8.67,2,0.0,2020-02-07,104.03999999999999,2020,5-10 yr,Q1 low
C031256,49.0,Male,East,51,Basic,9.56,1,0.0,2024-08-16,114.72,2024,2-5 yr,Q1 low
C031257,42.0,Female,West,103,Standard,31.23,0,0.0,2025-05-29,374.76,2025,5-10 yr,Q3
C031258,38.0,Female,South,1,Enterprise,217.25,0,0.0,2024-10-11,2607.0,2024,0-6 mo,Q4 high
C031259,42.0,Male,North,24,Basic,11.93,2,0.0,2023-12-19,143.16,2023,1-2 yr,Q1 low
C031260,18.0,Male,East,29,Basic,15.81,0,0.0,2021-05-16,189.72,2021,2-5 yr,Q2
C031261,23.0,Female,Central,75,Standard,26.17,1,0.0,2021-07-03,314.04,2021,5-10 yr,Q3
C031262,25.0,Male,Central,106,Standard,21.61,1,0.0,2020-01-03,259.32,2020,5-10 yr,Q2
C031263,39.0,Male,North,57,Standard,17.15,2,0.0,2020-04-15,205.79999999999998,2020,2-5 yr,Q2
C031264,22.0,Male,South,84,Enterprise,137.8,2,0.0,2024-03-14,1653.6000000000001,2024,5-10 yr,Q4 high
C031265,38.0,Male,East,26,Premium,65.06,2,0.0,2021-02-26,780.72,2021,2-5 yr,Q4 high
C031266,53.0,Male,Central,94,Standard,21.45,0,0.0,2020-04-28,257.4,2020,5-10 yr,Q2
C031267,28.0,Female,South,49,Standard,24.63,1,1.0,2020-07-03,295.56,2020,2-5 yr,Q2
C031268,45.0,Male,North,18,Standard,22.38,2,1.0,2023-01-17,268.56,2023,1-2 yr,Q2
C031269,37.0,Male,South,109,Premium,68.82,0,1.0,2023-12-09,825.8399999999999,2023,5-10 yr,Q4 high
C031270,47.0,Female,East,57,Basic,14.81,2,1.0,2021-12-16,177.72,2021,2-5 yr,Q1 low
C031271,31.0,Female,East,91,Standard,20.11,4,0.0,2019-09-27,241.32,2019,5-10 yr,Q2
C031272,40.0,Female,South,1,Premium,46.87,2,0.0,2025-02-14,562.4399999999999,2025,0-6 mo,Q3
C031273,37.0,Male,Central,43,Basic,9.02,3,1.0,2021-07-18,108.24,2021,2-5 yr,Q1 low
C031274,23.0,Female,West,78,Standard,17.54,1,0.0,2019-01-17,210.48,2019,5-10 yr,Q2
C031275,36.0,Female,East,60,Basic,8.78,0,0.0,2023-01-29,105.35999999999999,2023,2-5 yr,Q1 low
C031276,39.0,Female,South,20,Standard,33.79,4,,2023-06-02,405.48,2023,1-2 yr,Q3
C031277,40.0,Male,Central,57,Standard,25.11,0,1.0,2024-05-11,301.32,2024,2-5 yr,Q2
C031278,24.0,Female,Central,69,Basic,16.85,0,0.0,2019-07-30,202.20000000000002,2019,5-10 yr,Q2
C031279,18.0,Male,North,82,Basic,10.08,0,0.0,2019-02-27,120.96000000000001,2019,5-10 yr,Q1 low
C031280,31.0,Female,South,34,Basic,10.33,1,0.0,2019-11-28,123.96000000000001,2019,2-5 yr,Q1 low
C031281,28.0,Male,Central,63,Premium,87.16,4,0.0,2022-01-08,1045.92,2022,5-10 yr,Q4 high
C031282,54.0,Female,East,69,Standard,33.78,0,0.0,2021-07-03,405.36,2021,5-10 yr,Q3
C031283,19.0,Male,East,77,Basic,17.21,0,0.0,2021-06-27,206.52,2021,5-10 yr,Q2
C031284,37.0,Male,North,82,Basic,5.82,1,0.0,2022-10-05,69.84,2022,5-10 yr,Q1 low
C031285,37.0,Male,South,98,Standard,38.38,2,0.0,2020-02-27,460.56000000000006,2020,5-10 yr,Q3
C031286,26.0,Female,West,76,Basic,5.63,0,0.0,2023-08-07,67.56,2023,5-10 yr,Q1 low
C031287,35.0,Male,West,29,Standard,35.67,1,0.0,2021-06-09,428.04,2021,2-5 yr,Q3
C031288,47.0,Female,Central,38,Premium,86.68,0,0.0,2019-05-13,1040.16,2019,2-5 yr,Q4 high
C031289,42.0,Male,West,105,Standard,28.37,1,0.0,2021-05-01,340.44,2021,5-10 yr,Q3
C031290,48.0,Female,West,39,Enterprise,228.83,0,0.0,2019-07-19,2745.96,2019,2-5 yr,Q4 high
C031291,41.0,Male,West,55,Standard,38.75,0,0.0,2025-02-08,465.0,2025,2-5 yr,Q3
C031292,28.0,Female,South,101,Standard,16.76,1,0.0,2025-02-21,201.12,2025,5-10 yr,Q2
C031293,45.0,Female,West,53,Basic,10.3,0,0.0,2022-12-05,123.60000000000001,2022,2-5 yr,Q1 low
C031294,30.0,Male,South,94,Standard,29.07,0,0.0,2022-08-21,348.84000000000003,2022,5-10 yr,Q3
C031295,37.0,Male,Central,83,Standard,27.83,3,1.0,2022-02-03,333.96,2022,5-10 yr,Q3
C031296,56.0,Male,East,43,Standard,29.76,1,1.0,2023-06-16,357.12,2023,2-5 yr,Q3
C031297,38.0,Male,South,60,Standard,15.19,2,0.0,2020-01-09,182.28,2020,2-5 yr,Q1 low
C031298,36.0,Male,North,79,Basic,10.04,0,0.0,2019-06-03,120.47999999999999,2019,5-10 yr,Q1 low
C031299,39.0,Male,Central,6,Enterprise,244.25,0,1.0,2023-05-05,2931.0,2023,0-6 mo,Q4 high
C031300,21.0,Male,North,25,Standard,32.83,1,0.0,2023-03-27,393.96,2023,2-5 yr,Q3
C031301,52.0,Prefer not to say,Central,29,Standard,35.77,1,0.0,2021-07-30,429.24,2021,2-5 yr,Q3
C031302,59.0,Female,West,48,Standard,29.63,2,0.0,2023-08-17,355.56,2023,2-5 yr,Q3
C031303,40.0,Male,East,69,Standard,21.17,2,0.0,2024-12-12,254.04000000000002,2024,5-10 yr,Q2
C031304,40.0,Female,Central,17,Standard,19.64,2,0.0,2023-03-01,235.68,2023,1-2 yr,Q2
C031305,30.0,Female,East,103,Basic,7.16,0,0.0,2023-03-27,85.92,2023,5-10 yr,Q1 low
C031306,45.0,Female,North,22,Standard,36.9,1,1.0,2019-01-22,442.79999999999995,2019,1-2 yr,Q3
C031307,40.0,Female,North,120,Basic,7.85,3,0.0,2025-01-07,94.19999999999999,2025,5-10 yr,Q1 low
C031308,32.0,Male,West,33,Premium,36.82,2,0.0,2021-05-13,441.84000000000003,2021,2-5 yr,Q3
C031309,39.0,Non-binary,East,108,Premium,65.6,2,0.0,2021-12-21,787.1999999999999,2021,5-10 yr,Q4 high
C031310,46.0,Female,South,66,Basic,10.1,2,0.0,2023-11-26,121.19999999999999,2023,5-10 yr,Q1 low
C031311,18.0,Female,Central,23,Standard,34.6,3,1.0,2021-12-29,415.20000000000005,2021,1-2 yr,Q3
C031312,18.0,Female,West,74,Premium,64.29,0,0.0,2023-05-11,771.48,2023,5-10 yr,Q4 high
C031313,19.0,Female,South,55,Basic,17.13,0,1.0,2024-12-18,205.56,2024,2-5 yr,Q2
C031314,33.0,Male,Central,5,Basic,18.57,0,0.0,2025-05-26,222.84,2025,0-6 mo,Q2
C031315,34.0,Female,North,14,Basic,8.97,1,0.0,2020-09-08,107.64000000000001,2020,1-2 yr,Q1 low
C031316,32.0,Non-binary,North,80,Premium,59.61,2,0.0,2025-03-26,715.3199999999999,2025,5-10 yr,Q4 high
C031317,45.0,Male,West,67,Standard,21.85,0,0.0,2024-02-21,262.20000000000005,2024,5-10 yr,Q2
C031318,42.0,Female,North,55,Standard,35.86,3,0.0,2022-12-28,430.32,2022,2-5 yr,Q3
C031319,29.0,Female,South,36,Standard,27.84,1,0.0,2020-12-06,334.08,2020,2-5 yr,Q3
C031320,33.0,Male,West,88,Standard,18.64,0,0.0,2025-03-05,223.68,2025,5-10 yr,Q2
C031321,46.0,Male,West,92,Premium,62.62,1,1.0,2020-10-29,751.4399999999999,2020,5-10 yr,Q4 high
C031322,21.0,Male,South,52,Basic,15.08,3,0.0,2025-07-22,180.96,2025,2-5 yr,Q1 low
C031323,27.0,Male,West,78,Basic,19.87,5,0.0,2023-03-27,238.44,2023,5-10 yr,Q2
C031324,39.0,Female,East,59,Standard,38.4,0,0.0,2024-08-04,460.79999999999995,2024,2-5 yr,Q3
C031325,40.0,Male,West,83,Premium,83.3,2,0.0,2021-07-06,999.5999999999999,2021,5-10 yr,Q4 high
C031326,41.0,Male,South,99,Enterprise,247.51,1,0.0,2020-06-22,2970.12,2020,5-10 yr,Q4 high
C031327,29.0,Male,East,34,Basic,9.93,2,0.0,2020-10-13,119.16,2020,2-5 yr,Q1 low
C031328,52.0,Male,North,70,Premium,63.02,2,0.0,2019-07-30,756.24,2019,5-10 yr,Q4 high
C031329,43.0,Male,North,53,Basic,18.29,3,0.0,2023-06-27,219.48,2023,2-5 yr,Q2
C031330,42.0,Female,Central,81,Standard,18.76,3,0.0,2026-12-31,225.12,2026,5-10 yr,Q2
C031331,35.0,Male,South,106,Premium,46.48,0,0.0,2019-01-21,557.76,2019,5-10 yr,Q3
C031332,35.0,Prefer not to say,East,58,Basic,7.67,4,0.0,2021-08-23,92.03999999999999,2021,2-5 yr,Q1 low
C031333,32.0,Female,Central,90,Standard,18.3,4,1.0,2021-10-07,219.60000000000002,2021,5-10 yr,Q2
C031334,25.0,Female,East,55,Enterprise,229.89,2,0.0,2019-02-16,2758.68,2019,2-5 yr,Q4 high
C031335,34.0,Female,East,118,Basic,17.62,5,1.0,2024-06-30,211.44,2024,5-10 yr,Q2
C031336,49.0,Female,South,20,Premium,61.16,1,0.0,2020-04-17,733.92,2020,1-2 yr,Q4 high
C031337,22.0,Female,South,51,Standard,23.79,0,1.0,2019-09-13,285.48,2019,2-5 yr,Q2
C031338,35.0,Male,North,26,Basic,18.49,1,0.0,2022-12-27,221.88,2022,2-5 yr,Q2
C031339,30.0,Female,North,69,Standard,35.44,4,1.0,2025-03-21,425.28,2025,5-10 yr,Q3
C031340,18.0,Female,East,88,Standard,26.15,1,0.0,2022-07-24,313.79999999999995,2022,5-10 yr,Q3
C031341,19.0,Non-binary,Central,13,Enterprise,209.19,1,1.0,2019-06-12,2510.2799999999997,2019,1-2 yr,Q4 high
C031342,32.0,Female,West,37,Basic,19.68,0,0.0,2024-07-29,236.16,2024,2-5 yr,Q2
C031343,28.0,Female,Central,67,Standard,32.06,1,0.0,2022-10-30,384.72,2022,5-10 yr,Q3
C031344,46.0,Male,East,95,Standard,17.42,0,1.0,2026-12-31,209.04000000000002,2026,5-10 yr,Q2
C031345,43.0,Female,Central,93,Premium,66.76,0,0.0,2021-05-03,801.1200000000001,2021,5-10 yr,Q4 high
C031346,29.0,Female,East,18,Basic,9.97,1,0.0,2020-10-21,119.64000000000001,2020,1-2 yr,Q1 low
C031347,49.0,Female,East,97,Premium,99.7,2,0.0,2020-01-14,1196.4,2020,5-10 yr,Q4 high
C031348,34.0,Male,East,51,Premium,82.94,2,0.0,2020-04-12,995.28,2020,2-5 yr,Q4 high
C031349,45.0,Female,Central,23,Premium,50.84,2,0.0,2021-01-27,610.08,2021,1-2 yr,Q4 high
C031350,19.0,Male,South,29,Premium,79.64,2,0.0,2020-10-10,955.6800000000001,2020,2-5 yr,Q4 high
C031351,28.0,Male,East,116,Premium,59.91,0,0.0,2025-07-13,718.92,2025,5-10 yr,Q4 high
C031352,18.0,Male,Central,78,Standard,17.3,0,0.0,2024-05-12,207.60000000000002,2024,5-10 yr,Q2
C031353,52.0,Male,West,10,Premium,81.88,1,0.0,2020-06-26,982.56,2020,6-12 mo,Q4 high
C031354,42.0,Male,East,63,Basic,5.1,2,0.0,2020-12-28,61.199999999999996,2020,5-10 yr,Q1 low
C031355,38.0,Male,Central,26,Standard,16.42,1,0.0,2025-01-30,197.04000000000002,2025,2-5 yr,Q2
C031356,51.0,Male,Central,14,Unknown,58.25,0,0.0,2025-05-27,699.0,2025,1-2 yr,Q4 high
C031357,32.0,Male,West,21,Standard,35.89,2,0.0,2023-06-04,430.68,2023,1-2 yr,Q3
C031358,40.0,Male,Central,38,Standard,28.96,0,0.0,2022-09-28,347.52,2022,2-5 yr,Q3
C031359,39.0,Male,East,16,Basic,6.3,2,0.0,2023-05-03,75.6,2023,1-2 yr,Q1 low
C031360,35.0,Female,East,56,Standard,16.03,0,0.0,2021-03-23,192.36,2021,2-5 yr,Q2
C031361,28.0,Female,East,76,Standard,39.15,2,1.0,2019-09-28,469.79999999999995,2019,5-10 yr,Q3
C031362,31.0,Female,Unknown,80,Basic,13.66,0,1.0,2019-03-16,163.92000000000002,2019,5-10 yr,Q1 low
C031363,33.0,Female,West,58,Basic,19.56,1,0.0,2021-05-22,234.71999999999997,2021,2-5 yr,Q2
C031364,44.0,Female,West,115,Enterprise,107.8,4,0.0,2021-03-10,1293.6,2021,5-10 yr,Q4 high
C031365,47.0,Female,South,9,Standard,35.9,2,,2020-09-23,430.79999999999995,2020,6-12 mo,Q3
C031366,28.0,Female,Central,3,Standard,23.98,0,1.0,2024-10-12,287.76,2024,0-6 mo,Q2
C031367,35.0,Male,East,15,Basic,12.47,2,0.0,2022-02-01,149.64000000000001,2022,1-2 yr,Q1 low
C031368,43.0,Male,East,120,Premium,86.88,2,0.0,2019-02-05,1042.56,2019,5-10 yr,Q4 high
C031369,22.0,Female,South,32,Premium,59.18,3,1.0,2024-06-20,710.16,2024,2-5 yr,Q4 high
C031370,33.0,Non-binary,North,99,Standard,22.19,2,0.0,2021-06-17,266.28000000000003,2021,5-10 yr,Q2
C031371,42.0,Male,North,25,Basic,9.5,3,0.0,2025-03-13,114.0,2025,2-5 yr,Q1 low
C031372,30.0,Female,Central,29,Basic,7.4,1,0.0,2022-09-22,88.80000000000001,2022,2-5 yr,Q1 low
C031373,46.0,Female,North,91,Basic,7.4,1,1.0,2020-01-02,88.80000000000001,2020,5-10 yr,Q1 low
C031374,31.0,Male,East,89,Standard,17.1,2,0.0,2022-01-14,205.20000000000002,2022,5-10 yr,Q2
C031375,24.0,Male,East,39,Basic,9.52,3,0.0,2023-01-02,114.24,2023,2-5 yr,Q1 low
C031376,22.0,Male,North,2,Premium,97.91,2,0.0,2022-08-28,1174.92,2022,0-6 mo,Q4 high
C031377,26.0,Male,Central,55,Basic,9.42,1,1.0,2024-03-30,113.03999999999999,2024,2-5 yr,Q1 low
C031378,24.0,Female,North,79,Basic,19.66,1,1.0,2021-02-13,235.92000000000002,2021,5-10 yr,Q2
C031379,31.0,Female,West,100,Standard,15.34,3,0.0,2024-08-09,184.07999999999998,2024,5-10 yr,Q1 low
C031380,25.0,Male,West,41,Standard,20.06,2,0.0,2019-04-13,240.71999999999997,2019,2-5 yr,Q2
C031381,42.0,Male,North,74,Standard,28.32,0,0.0,2022-02-14,339.84000000000003,2022,5-10 yr,Q3
C031382,27.0,Male,North,69,Premium,36.74,0,0.0,2022-03-15,440.88,2022,5-10 yr,Q3
C031383,40.0,Male,South,40,Standard,22.48,1,0.0,2023-01-14,269.76,2023,2-5 yr,Q2
C031384,38.0,Female,Central,60,Premium,54.09,0,0.0,2019-06-09,649.08,2019,2-5 yr,Q4 high
C031385,32.0,Female,Central,106,Basic,9.87,5,0.0,2024-05-31,118.44,2024,5-10 yr,Q1 low
